Dataset,Study
ensGene.ENST00000421793.1.inc,Brown and Thomson 2016
ensGene.ENST00000422026.1.inc,Brown and Thomson 2016
ensGene.ENST00000422144.1.inc,Brown and Thomson 2016
ensGene.ENST00000422340.1.inc,Brown and Thomson 2016
ensGene.ENST00000423001.1.inc,Brown and Thomson 2016
ensGene.ENST00000423275.1.inc,Brown and Thomson 2016
ensGene.ENST00000423431.1.inc,Brown and Thomson 2016
ensGene.ENST00000423760.1.inc,Brown and Thomson 2016
ensGene.ENST00000423847.1.inc,Brown and Thomson 2016
ensGene.ENST00000424022.1.inc,Brown and Thomson 2016
ensGene.ENST00000424192.1.inc,Brown and Thomson 2016
ensGene.ENST00000424374.1.inc,Brown and Thomson 2016
ensGene.ENST00000424458.1.inc,Brown and Thomson 2016
ensGene.ENST00000424478.1.inc,Brown and Thomson 2016
ensGene.ENST00000424485.1,Brown and Thomson 2016
ensGene.ENST00000424894.1.inc,Brown and Thomson 2016
ensGene.ENST00000424913.1.inc,Brown and Thomson 2016
ensGene.ENST00000425430.1.inc,Brown and Thomson 2016
ensGene.ENST00000425527.1.inc,Brown and Thomson 2016
ensGene.ENST00000425530.1.inc,Brown and Thomson 2016
ensGene.ENST00000425590.1.inc,Brown and Thomson 2016
ensGene.ENST00000425608.1.inc,Brown and Thomson 2016
ensGene.ENST00000425766.1.inc,Brown and Thomson 2016
ensGene.ENST00000426158.1.inc,Brown and Thomson 2016
ensGene.ENST00000426450.1.inc,Brown and Thomson 2016
ensGene.ENST00000426642.1.inc,Brown and Thomson 2016
ensGene.ENST00000426648.1.inc,Brown and Thomson 2016
ensGene.ENST00000426772.1.inc,Brown and Thomson 2016
ensGene.ENST00000427431.1.inc,Brown and Thomson 2016
ensGene.ENST00000427649.1.inc,Brown and Thomson 2016
ensGene.ENST00000427746.1.inc,Brown and Thomson 2016
ensGene.ENST00000428218.1,Brown and Thomson 2016
ensGene.ENST00000428562.1.inc,Brown and Thomson 2016
ensGene.ENST00000428742.1.inc,Brown and Thomson 2016
ensGene.ENST00000429115.1,Brown and Thomson 2016
ensGene.ENST00000429141.1.inc,Brown and Thomson 2016
ensGene.ENST00000429402.1.inc,Brown and Thomson 2016
ensGene.ENST00000429468.1.inc,Brown and Thomson 2016
ensGene.ENST00000429484.1.inc,Brown and Thomson 2016
ensGene.ENST00000430292.1.inc,Brown and Thomson 2016
ensGene.ENST00000430990.1.inc,Brown and Thomson 2016
ensGene.ENST00000431170.1.inc,Brown and Thomson 2016
ensGene.ENST00000431346.1.inc,Brown and Thomson 2016
ensGene.ENST00000431484.1.inc,Brown and Thomson 2016
ensGene.ENST00000431623.1.inc,Brown and Thomson 2016
ensGene.ENST00000431687.1.inc,Brown and Thomson 2016
ensGene.ENST00000431964.1.inc,Brown and Thomson 2016
ensGene.ENST00000432188.1,Brown and Thomson 2016
ensGene.ENST00000432456.1.inc,Brown and Thomson 2016
ensGene.ENST00000433610.1.inc,Brown and Thomson 2016
ensGene.ENST00000433635.1.inc,Brown and Thomson 2016
ensGene.ENST00000433641.1.inc,Brown and Thomson 2016
ensGene.ENST00000434239.1.inc,Brown and Thomson 2016
ensGene.ENST00000434257.1.inc,Brown and Thomson 2016
ensGene.ENST00000434523.1.inc,Brown and Thomson 2016
ensGene.ENST00000434753.1.inc,Brown and Thomson 2016
ensGene.ENST00000434889.1.inc,Brown and Thomson 2016
ensGene.ENST00000434924.1.inc,Brown and Thomson 2016
ensGene.ENST00000435054.1.inc,Brown and Thomson 2016
ensGene.ENST00000435055.1,Brown and Thomson 2016
ensGene.ENST00000435252.1.inc,Brown and Thomson 2016
ensGene.ENST00000435302.1.inc,Brown and Thomson 2016
ensGene.ENST00000435602.1.inc,Brown and Thomson 2016
ensGene.ENST00000435894.1.inc,Brown and Thomson 2016
ensGene.ENST00000436114.1.inc,Brown and Thomson 2016
ensGene.ENST00000436490.1.inc,Brown and Thomson 2016
ensGene.ENST00000436526.1.inc,Brown and Thomson 2016
ensGene.ENST00000436971.1.inc,Brown and Thomson 2016
ensGene.ENST00000437081.1.inc,Brown and Thomson 2016
ensGene.ENST00000437168.1.inc,Brown and Thomson 2016
ensGene.ENST00000437205.1.inc,Brown and Thomson 2016
ensGene.ENST00000437575.1.inc,Brown and Thomson 2016
ensGene.ENST00000437708.1.inc,Brown and Thomson 2016
ensGene.ENST00000437875.1.inc,Brown and Thomson 2016
ensGene.ENST00000438014.1.inc,Brown and Thomson 2016
ensGene.ENST00000438053.1.inc,Brown and Thomson 2016
ensGene.ENST00000438062.1.inc,Brown and Thomson 2016
ensGene.ENST00000438203.1.inc,Brown and Thomson 2016
ensGene.ENST00000438254.1.inc,Brown and Thomson 2016
ensGene.ENST00000438445.1.inc,Brown and Thomson 2016
ensGene.ENST00000438863.1.inc,Brown and Thomson 2016
ensGene.ENST00000438913.1,Brown and Thomson 2016
ensGene.ENST00000439036.1.inc,Brown and Thomson 2016
ensGene.ENST00000439873.1,Brown and Thomson 2016
ensGene.ENST00000439914.1.inc,Brown and Thomson 2016
ensGene.ENST00000440390.1.inc,Brown and Thomson 2016
ensGene.ENST00000440469.1.inc,Brown and Thomson 2016
ensGene.ENST00000441048.1.inc,Brown and Thomson 2016
ensGene.ENST00000441240.1.inc,Brown and Thomson 2016
ensGene.ENST00000441361.1.inc,Brown and Thomson 2016
ensGene.ENST00000441447.1.inc,Brown and Thomson 2016
ensGene.ENST00000441629.1.inc,Brown and Thomson 2016
ensGene.ENST00000441684.1.inc,Brown and Thomson 2016
ensGene.ENST00000441764.1.inc,Brown and Thomson 2016
ensGene.ENST00000442331.1.inc,Brown and Thomson 2016
ensGene.ENST00000442379.1.inc,Brown and Thomson 2016
ensGene.ENST00000442390.1.inc,Brown and Thomson 2016
ensGene.ENST00000442421.1.inc,Brown and Thomson 2016
ensGene.ENST00000442677.1.inc,Brown and Thomson 2016
ensGene.ENST00000442693.1.inc,Brown and Thomson 2016
ensGene.ENST00000442779.1.inc,Brown and Thomson 2016
ensGene.ENST00000443095.1.inc,Brown and Thomson 2016
ensGene.ENST00000443232.1.inc,Brown and Thomson 2016
ensGene.ENST00000443519.1.inc,Brown and Thomson 2016
ensGene.ENST00000443553.1.inc,Brown and Thomson 2016
ensGene.ENST00000443607.1.inc,Brown and Thomson 2016
ensGene.ENST00000444261.1.inc,Brown and Thomson 2016
ensGene.ENST00000444272.1.inc,Brown and Thomson 2016
ensGene.ENST00000444582.1.inc,Brown and Thomson 2016
ensGene.ENST00000444696.1.inc,Brown and Thomson 2016
ensGene.ENST00000444712.1.inc,Brown and Thomson 2016
ensGene.ENST00000445472.1.inc,Brown and Thomson 2016
ensGene.ENST00000445686.1.inc,Brown and Thomson 2016
ensGene.ENST00000445741.1.inc,Brown and Thomson 2016
ensGene.ENST00000445815.1.inc,Brown and Thomson 2016
ensGene.ENST00000445846.1.inc,Brown and Thomson 2016
ensGene.ENST00000446134.1.inc,Brown and Thomson 2016
ensGene.ENST00000446456.1.inc,Brown and Thomson 2016
ensGene.ENST00000446561.1.inc,Brown and Thomson 2016
ensGene.ENST00000446681.1.inc,Brown and Thomson 2016
ensGene.ENST00000447136.1.inc,Brown and Thomson 2016
ensGene.ENST00000447213.1.inc,Brown and Thomson 2016
ensGene.ENST00000447556.1.inc,Brown and Thomson 2016
ensGene.ENST00000447638.1.inc,Brown and Thomson 2016
ensGene.ENST00000447734.1.inc,Brown and Thomson 2016
ensGene.ENST00000447736.1.inc,Brown and Thomson 2016
ensGene.ENST00000447823.1,Brown and Thomson 2016
ensGene.ENST00000448952.1.inc,Brown and Thomson 2016
ensGene.ENST00000448992.1.inc,Brown and Thomson 2016
ensGene.ENST00000449584.1.inc,Brown and Thomson 2016
ensGene.ENST00000449729.1.inc,Brown and Thomson 2016
ensGene.ENST00000449784.1.inc,Brown and Thomson 2016
ensGene.ENST00000449796.1.inc,Brown and Thomson 2016
ensGene.ENST00000450156.1.inc,Brown and Thomson 2016
ensGene.ENST00000450262.1.inc,Brown and Thomson 2016
ensGene.ENST00000450497.1.inc,Brown and Thomson 2016
ensGene.ENST00000450510.1.inc,Brown and Thomson 2016
ensGene.ENST00000450791.1.inc,Brown and Thomson 2016
ensGene.ENST00000450939.1.inc,Brown and Thomson 2016
ensGene.ENST00000451136.1.inc,Brown and Thomson 2016
ensGene.ENST00000451668.1.inc,Brown and Thomson 2016
ensGene.ENST00000451949.1.inc,Brown and Thomson 2016
ensGene.ENST00000452022.1.inc,Brown and Thomson 2016
ensGene.ENST00000452281.1,Brown and Thomson 2016
ensGene.ENST00000452773.1.inc,Brown and Thomson 2016
ensGene.ENST00000452931.1.inc,Brown and Thomson 2016
ensGene.ENST00000453018.1,Brown and Thomson 2016
ensGene.ENST00000453332.1.inc,Brown and Thomson 2016
ensGene.ENST00000453877.1.inc,Brown and Thomson 2016
ensGene.ENST00000453944.1.inc,Brown and Thomson 2016
ensGene.ENST00000454134.1.inc,Brown and Thomson 2016
ensGene.ENST00000454141.1.inc,Brown and Thomson 2016
ensGene.ENST00000454293.1.inc,Brown and Thomson 2016
ensGene.ENST00000455016.1.inc,Brown and Thomson 2016
ensGene.ENST00000455330.1.inc,Brown and Thomson 2016
ensGene.ENST00000455381.1.inc,Brown and Thomson 2016
ensGene.ENST00000455386.1.inc,Brown and Thomson 2016
ensGene.ENST00000455517.1.inc,Brown and Thomson 2016
ensGene.ENST00000455566.1.inc,Brown and Thomson 2016
ensGene.ENST00000455679.1.inc,Brown and Thomson 2016
ensGene.ENST00000455805.1.inc,Brown and Thomson 2016
ensGene.ENST00000456606.1.inc,Brown and Thomson 2016
ensGene.ENST00000457174.1.inc,Brown and Thomson 2016
ensGene.ENST00000457242.1.inc,Brown and Thomson 2016
ensGene.ENST00000457307.1.inc,Brown and Thomson 2016
ensGene.ENST00000457559.1,Brown and Thomson 2016
ensGene.ENST00000457618.1.inc,Brown and Thomson 2016
ensGene.ENST00000457715.1.inc,Brown and Thomson 2016
ensGene.ENST00000458014.1.inc,Brown and Thomson 2016
ensGene.ENST00000458043.1,Brown and Thomson 2016
ensGene.ENST00000458054.1.inc,Brown and Thomson 2016
ensGene.ENST00000458061.1.inc,Brown and Thomson 2016
ensGene.ENST00000458140.1.inc,Brown and Thomson 2016
ensGene.ENST00000458395.1.inc,Brown and Thomson 2016
ensGene.ENST00000458533.1.inc,Brown and Thomson 2016
ensGene.ENST00000459813.1.inc,Brown and Thomson 2016
ensGene.ENST00000461544.1.inc,Brown and Thomson 2016
ensGene.ENST00000461654.1.inc,Brown and Thomson 2016
ensGene.ENST00000462420.1,Brown and Thomson 2016
ensGene.ENST00000462512.1.inc,Brown and Thomson 2016
ensGene.ENST00000463503.1,Brown and Thomson 2016
ensGene.ENST00000464418.1.inc,Brown and Thomson 2016
ensGene.ENST00000465072.1.inc,Brown and Thomson 2016
ensGene.ENST00000465551.1.inc,Brown and Thomson 2016
ensGene.ENST00000465601.1.inc,Brown and Thomson 2016
ensGene.ENST00000465627.1.inc,Brown and Thomson 2016
ensGene.ENST00000465756.1.inc,Brown and Thomson 2016
ensGene.ENST00000468036.1.inc,Brown and Thomson 2016
ensGene.ENST00000468911.1.inc,Brown and Thomson 2016
ensGene.ENST00000471396.1.inc,Brown and Thomson 2016
ensGene.ENST00000472818.1.inc,Brown and Thomson 2016
ensGene.ENST00000474433.1.inc,Brown and Thomson 2016
ensGene.ENST00000475518.1,Brown and Thomson 2016
ensGene.ENST00000475734.1.inc,Brown and Thomson 2016
ensGene.ENST00000476433.1,Brown and Thomson 2016
ensGene.ENST00000479011.1.inc,Brown and Thomson 2016
ensGene.ENST00000480073.1.inc,Brown and Thomson 2016
ensGene.ENST00000481013.1.inc,Brown and Thomson 2016
ensGene.ENST00000481210.1.inc,Brown and Thomson 2016
ensGene.ENST00000482138.1.inc,Brown and Thomson 2016
ensGene.ENST00000482279.1.inc,Brown and Thomson 2016
ensGene.ENST00000482699.1.inc,Brown and Thomson 2016
ensGene.ENST00000482958.1.inc,Brown and Thomson 2016
ensGene.ENST00000485444.1.inc,Brown and Thomson 2016
ensGene.ENST00000485735.1.inc,Brown and Thomson 2016
ensGene.ENST00000485867.1.inc,Brown and Thomson 2016
ensGene.ENST00000489119.1.inc,Brown and Thomson 2016
ensGene.ENST00000491617.1.inc,Brown and Thomson 2016
ensGene.ENST00000492396.1,Brown and Thomson 2016
ensGene.ENST00000493075.1.inc,Brown and Thomson 2016
ensGene.ENST00000493412.1.inc,Brown and Thomson 2016
ensGene.ENST00000493900.1.inc,Brown and Thomson 2016
ensGene.ENST00000496772.1.inc,Brown and Thomson 2016
ensGene.ENST00000497373.1.inc,Brown and Thomson 2016
ensGene.ENST00000497553.1.inc,Brown and Thomson 2016
ensGene.ENST00000498740.1.inc,Brown and Thomson 2016
EXOC2-nucl,Brown and Thomson 2016
GAPDH-nucl,Brown and Thomson 2016
GDE1-nucl,Brown and Thomson 2016
GNAS-nucl,Brown and Thomson 2016
GSPT1-nucl,Brown and Thomson 2016
H2AFY2-nucl,Brown and Thomson 2016
HIAT1-nucl,Brown and Thomson 2016
HPD-nucl,Brown and Thomson 2016
IFT57-nucl,Brown and Thomson 2016
KDM6A-nucl,Brown and Thomson 2016
knownGene.uc001aye.3.1.inc,Brown and Thomson 2016
knownGene.uc001bbj.1.1.inc,Brown and Thomson 2016
knownGene.uc001bic.2.1.inc,Brown and Thomson 2016
knownGene.uc001buf.3.1.inc,Brown and Thomson 2016
knownGene.uc001buh.2.1,Brown and Thomson 2016
knownGene.uc001bus.2.1,Brown and Thomson 2016
knownGene.uc001bvx.1.1,Brown and Thomson 2016
knownGene.uc001bzk.2.1,Brown and Thomson 2016
knownGene.uc001bzw.1.1,Brown and Thomson 2016
knownGene.uc001cex.2.1.inc,Brown and Thomson 2016
knownGene.uc001cxd.2.1,Brown and Thomson 2016
knownGene.uc001czx.2.1.inc,Brown and Thomson 2016
knownGene.uc001deq.2.1,Brown and Thomson 2016
knownGene.uc001dgq.2.1.inc,Brown and Thomson 2016
knownGene.uc001dig.3.1,Brown and Thomson 2016
knownGene.uc001dis.2.1,Brown and Thomson 2016
knownGene.uc001dko.2.1.inc,Brown and Thomson 2016
knownGene.uc001dlg.2.1,Brown and Thomson 2016
knownGene.uc001dpb.2.1,Brown and Thomson 2016
knownGene.uc001dqo.3.1.inc,Brown and Thomson 2016
knownGene.uc001drs.1.1,Brown and Thomson 2016
knownGene.uc001ecc.2.1.inc,Brown and Thomson 2016
knownGene.uc001eea.1.1.inc,Brown and Thomson 2016
knownGene.uc001eey.1.1,Brown and Thomson 2016
knownGene.uc001efh.3.1,Brown and Thomson 2016
knownGene.uc001fgc.2.1.inc,Brown and Thomson 2016
knownGene.uc001flx.1.1,Brown and Thomson 2016
knownGene.uc001fqp.1.1.inc,Brown and Thomson 2016
knownGene.uc001gjp.1.1.inc,Brown and Thomson 2016
knownGene.uc001gkb.3.1.inc,Brown and Thomson 2016
knownGene.uc001gqp.2.1.inc,Brown and Thomson 2016
knownGene.uc001grr.1.1.inc,Brown and Thomson 2016
knownGene.uc001gug.3.1.inc,Brown and Thomson 2016
knownGene.uc001gww.1.1.inc,Brown and Thomson 2016
knownGene.uc001gxo.1.1.inc,Brown and Thomson 2016
knownGene.uc001hbv.1.1.inc,Brown and Thomson 2016
knownGene.uc001hby.1.1.inc,Brown and Thomson 2016
knownGene.uc001hdg.1.1.inc,Brown and Thomson 2016
knownGene.uc001heg.1.1.inc,Brown and Thomson 2016
knownGene.uc001hff.1.1.inc,Brown and Thomson 2016
knownGene.uc001hkg.1.1.inc,Brown and Thomson 2016
knownGene.uc001hlg.3.1.inc,Brown and Thomson 2016
knownGene.uc001hmd.2.1.inc,Brown and Thomson 2016
knownGene.uc001hmh.2.1.inc,Brown and Thomson 2016
knownGene.uc001hqo.1.1.inc,Brown and Thomson 2016
knownGene.uc001hqt.2.1.inc,Brown and Thomson 2016
knownGene.uc001hye.1.1.inc,Brown and Thomson 2016
knownGene.uc001ibb.1.1.inc,Brown and Thomson 2016
knownGene.uc001igs.1.1.inc,Brown and Thomson 2016
knownGene.uc001iqz.2.1.inc,Brown and Thomson 2016
knownGene.uc001isk.2.1.inc,Brown and Thomson 2016
knownGene.uc001ivr.3.1.inc,Brown and Thomson 2016
knownGene.uc001ivx.1.1.inc,Brown and Thomson 2016
knownGene.uc001jmp.1.1.inc,Brown and Thomson 2016
knownGene.uc001jzl.3.1.inc,Brown and Thomson 2016
knownGene.uc001kdz.2.1,Brown and Thomson 2016
knownGene.uc001kht.1.1.inc,Brown and Thomson 2016
knownGene.uc001kpy.2.1,Brown and Thomson 2016
knownGene.uc001kvj.1.1.inc,Brown and Thomson 2016
knownGene.uc001kxc.2.1.inc,Brown and Thomson 2016
knownGene.uc001kyx.2.1,Brown and Thomson 2016
knownGene.uc001kzb.2.1,Brown and Thomson 2016
knownGene.uc001lep.2.1.inc,Brown and Thomson 2016
knownGene.uc001leq.1.1.inc,Brown and Thomson 2016
knownGene.uc001lfo.1.1,Brown and Thomson 2016
knownGene.uc001lon.2.1.inc,Brown and Thomson 2016
knownGene.uc001mei.2.1,Brown and Thomson 2016
knownGene.uc001mid.2.1,Brown and Thomson 2016
knownGene.uc001mjt.1.1.inc,Brown and Thomson 2016
knownGene.uc001mkv.1.1.inc,Brown and Thomson 2016
knownGene.uc001mlp.2.1.inc,Brown and Thomson 2016
knownGene.uc001mmi.3.1.inc,Brown and Thomson 2016
knownGene.uc001mnl.1.1,Brown and Thomson 2016
knownGene.uc001mpt.2.1.inc,Brown and Thomson 2016
knownGene.uc001mtk.2.1,Brown and Thomson 2016
knownGene.uc001mxm.2.1,Brown and Thomson 2016
knownGene.uc001nca.1.1.inc,Brown and Thomson 2016
knownGene.uc001nrw.1.1.inc,Brown and Thomson 2016
knownGene.uc001ops.2.1.inc,Brown and Thomson 2016
knownGene.uc001opy.2.1,Brown and Thomson 2016
knownGene.uc001oxo.1.1.inc,Brown and Thomson 2016
knownGene.uc001pbo.1.1.inc,Brown and Thomson 2016
knownGene.uc001pdi.3.1,Brown and Thomson 2016
knownGene.uc001pit.2.1,Brown and Thomson 2016
knownGene.uc001pjx.2.1.inc,Brown and Thomson 2016
knownGene.uc001pkc.1.1.inc,Brown and Thomson 2016
knownGene.uc001pno.2.1,Brown and Thomson 2016
knownGene.uc001ppj.3.1.inc,Brown and Thomson 2016
knownGene.uc001pri.1.1.inc,Brown and Thomson 2016
knownGene.uc001psw.2.1.inc,Brown and Thomson 2016
knownGene.uc001pua.2.1,Brown and Thomson 2016
knownGene.uc001pvk.2.1.inc,Brown and Thomson 2016
knownGene.uc001pxe.1.1,Brown and Thomson 2016
knownGene.uc001pxi.1.1,Brown and Thomson 2016
knownGene.uc001qgc.1.1.inc,Brown and Thomson 2016
knownGene.uc001qgf.2.1.inc,Brown and Thomson 2016
knownGene.uc001qgy.1.1.inc,Brown and Thomson 2016
knownGene.uc001qji.2.1,Brown and Thomson 2016
knownGene.uc001qjv.2.1,Brown and Thomson 2016
knownGene.uc001qpb.1.1,Brown and Thomson 2016
knownGene.uc001qqy.1.1.inc,Brown and Thomson 2016
knownGene.uc001raa.1.1.inc,Brown and Thomson 2016
knownGene.uc001rdd.3.1,Brown and Thomson 2016
knownGene.uc001rif.1.1.inc,Brown and Thomson 2016
knownGene.uc001rje.1.1,Brown and Thomson 2016
knownGene.uc001rlt.2.1,Brown and Thomson 2016
knownGene.uc001rqt.2.1,Brown and Thomson 2016
knownGene.uc001srs.1.1,Brown and Thomson 2016
knownGene.uc001sse.2.1.inc,Brown and Thomson 2016
knownGene.uc001svw.1.1.inc,Brown and Thomson 2016
knownGene.uc001tbf.2.1.inc,Brown and Thomson 2016
knownGene.uc001tiv.3.1.inc,Brown and Thomson 2016
knownGene.uc001tlg.1.1,Brown and Thomson 2016
knownGene.uc001tof.3.1.inc,Brown and Thomson 2016
knownGene.uc001tok.1.1,Brown and Thomson 2016
knownGene.uc001tot.2.1.inc,Brown and Thomson 2016
knownGene.uc001tqn.3.1,Brown and Thomson 2016
knownGene.uc001tsg.2.1.inc,Brown and Thomson 2016
knownGene.uc001tsr.2.1,Brown and Thomson 2016
knownGene.uc001ttb.2.1,Brown and Thomson 2016
knownGene.uc001ttr.1.1.inc,Brown and Thomson 2016
knownGene.uc001twv.2.1,Brown and Thomson 2016
knownGene.uc001tzc.2.1,Brown and Thomson 2016
knownGene.uc001udv.1.1.inc,Brown and Thomson 2016
knownGene.uc001ufh.2.1.inc,Brown and Thomson 2016
knownGene.uc001uhf.1.1.inc,Brown and Thomson 2016
knownGene.uc001uop.1.1.inc,Brown and Thomson 2016
knownGene.uc001uqz.1.1.inc,Brown and Thomson 2016
knownGene.uc001urf.2.1,Brown and Thomson 2016
knownGene.uc001ury.2.1.inc,Brown and Thomson 2016
knownGene.uc001vaq.2.1.inc,Brown and Thomson 2016
knownGene.uc001vhr.1.1.inc,Brown and Thomson 2016
knownGene.uc001vin.3.1,Brown and Thomson 2016
knownGene.uc001vjd.2.1,Brown and Thomson 2016
knownGene.uc001vkg.1.1.inc,Brown and Thomson 2016
knownGene.uc001vng.1.1.inc,Brown and Thomson 2016
knownGene.uc001vtb.2.1.inc,Brown and Thomson 2016
knownGene.uc001vtx.2.1.inc,Brown and Thomson 2016
knownGene.uc001wra.1.1.inc,Brown and Thomson 2016
knownGene.uc001wrh.2.1,Brown and Thomson 2016
knownGene.uc001wte.3.1.inc,Brown and Thomson 2016
knownGene.uc001xbe.2.1.inc,Brown and Thomson 2016
knownGene.uc001xbw.1.1.inc,Brown and Thomson 2016
knownGene.uc001xjb.1.1,Brown and Thomson 2016
knownGene.uc001xkb.2.1.inc,Brown and Thomson 2016
knownGene.uc001xku.2.1.inc,Brown and Thomson 2016
knownGene.uc001xln.1.1.inc,Brown and Thomson 2016
knownGene.uc001xpg.2.1.inc,Brown and Thomson 2016
knownGene.uc001xtn.1.1,Brown and Thomson 2016
knownGene.uc001xxp.2.1.inc,Brown and Thomson 2016
knownGene.uc001xzh.2.1.inc,Brown and Thomson 2016
knownGene.uc001yff.3.1.inc,Brown and Thomson 2016
knownGene.uc001yky.1.1.inc,Brown and Thomson 2016
knownGene.uc001yvd.2.1,Brown and Thomson 2016
knownGene.uc001zbk.1.1.inc,Brown and Thomson 2016
knownGene.uc001zhd.1.1.inc,Brown and Thomson 2016
knownGene.uc001zhn.2.1.inc,Brown and Thomson 2016
knownGene.uc001zpb.2.1,Brown and Thomson 2016
knownGene.uc001ztm.2.1,Brown and Thomson 2016
knownGene.uc001zwk.2.1,Brown and Thomson 2016
knownGene.uc001zwl.2.1.inc,Brown and Thomson 2016
knownGene.uc001zwq.3.1.inc,Brown and Thomson 2016
knownGene.uc001zyp.3.1,Brown and Thomson 2016
knownGene.uc001zyr.2.1,Brown and Thomson 2016
knownGene.uc002acf.3.1,Brown and Thomson 2016
knownGene.uc002afy.2.1,Brown and Thomson 2016
knownGene.uc002arh.2.1.inc,Brown and Thomson 2016
knownGene.uc002ave.3.1.inc,Brown and Thomson 2016
knownGene.uc002bdm.1.1,Brown and Thomson 2016
knownGene.uc002bmi.1.1.inc,Brown and Thomson 2016
knownGene.uc002dbi.2.1,Brown and Thomson 2016
knownGene.uc002dmq.2.1.inc,Brown and Thomson 2016
knownGene.uc002eew.3.1.inc,Brown and Thomson 2016
knownGene.uc002ehe.1.1,Brown and Thomson 2016
knownGene.uc002ele.1.1,Brown and Thomson 2016
knownGene.uc002euc.2.1.inc,Brown and Thomson 2016
knownGene.uc002exh.1.1.inc,Brown and Thomson 2016
knownGene.uc002ezk.1.1.inc,Brown and Thomson 2016
knownGene.uc002fbg.3.1,Brown and Thomson 2016
knownGene.uc002fuq.2.1.inc,Brown and Thomson 2016
knownGene.uc002gpk.3.1.inc,Brown and Thomson 2016
knownGene.uc002gvc.2.1.inc,Brown and Thomson 2016
knownGene.uc002hbz.1.1.inc,Brown and Thomson 2016
knownGene.uc002heb.1.1.inc,Brown and Thomson 2016
knownGene.uc002huc.2.1,Brown and Thomson 2016
knownGene.uc002hur.1.1.inc,Brown and Thomson 2016
knownGene.uc002hyk.1.1.inc,Brown and Thomson 2016
knownGene.uc002igz.3.1.inc,Brown and Thomson 2016
knownGene.uc002ihp.1.1.inc,Brown and Thomson 2016
knownGene.uc002isn.2.1.inc,Brown and Thomson 2016
knownGene.uc002ixp.2.1.inc,Brown and Thomson 2016
knownGene.uc002iyc.2.1,Brown and Thomson 2016
knownGene.uc002izp.2.1.inc,Brown and Thomson 2016
knownGene.uc002jej.2.1,Brown and Thomson 2016
knownGene.uc002jiq.2.1.inc,Brown and Thomson 2016
knownGene.uc002jnd.2.1.inc,Brown and Thomson 2016
knownGene.uc002jrv.1.1.inc,Brown and Thomson 2016
knownGene.uc002jxh.2.1.inc,Brown and Thomson 2016
knownGene.uc002jya.3.1,Brown and Thomson 2016
knownGene.uc002jyu.1.1.inc,Brown and Thomson 2016
knownGene.uc002kbl.1.1,Brown and Thomson 2016
knownGene.uc002kjk.1.1,Brown and Thomson 2016
knownGene.uc002kkh.3.1.inc,Brown and Thomson 2016
knownGene.uc002kof.2.1,Brown and Thomson 2016
knownGene.uc002krh.3.1.inc,Brown and Thomson 2016
knownGene.uc002kto.2.1.inc,Brown and Thomson 2016
knownGene.uc002kub.2.1,Brown and Thomson 2016
knownGene.uc002ltn.2.1,Brown and Thomson 2016
knownGene.uc002nsp.2.1.inc,Brown and Thomson 2016
knownGene.uc002ntj.1.1,Brown and Thomson 2016
knownGene.uc002nvc.3.1,Brown and Thomson 2016
knownGene.uc002ran.1.1.inc,Brown and Thomson 2016
knownGene.uc002rdq.1.1.inc,Brown and Thomson 2016
knownGene.uc002rqe.1.1.inc,Brown and Thomson 2016
knownGene.uc002rqv.2.1,Brown and Thomson 2016
knownGene.uc002sad.1.1.inc,Brown and Thomson 2016
knownGene.uc002sav.3.1.inc,Brown and Thomson 2016
knownGene.uc002sbf.2.1.inc,Brown and Thomson 2016
knownGene.uc002sbg.2.1,Brown and Thomson 2016
knownGene.uc002scn.2.1,Brown and Thomson 2016
knownGene.uc002scr.3.1,Brown and Thomson 2016
knownGene.uc002snt.2.1,Brown and Thomson 2016
knownGene.uc002srm.2.1.inc,Brown and Thomson 2016
knownGene.uc002sta.3.1.inc,Brown and Thomson 2016
knownGene.uc002syg.2.1.inc,Brown and Thomson 2016
knownGene.uc002tmz.2.1,Brown and Thomson 2016
knownGene.uc002tot.2.1.inc,Brown and Thomson 2016
knownGene.uc002tud.1.1,Brown and Thomson 2016
knownGene.uc002twu.1.1.inc,Brown and Thomson 2016
knownGene.uc002tyg.3.1,Brown and Thomson 2016
knownGene.uc002uac.2.1,Brown and Thomson 2016
knownGene.uc002uer.1.1.inc,Brown and Thomson 2016
knownGene.uc002uhj.2.1.inc,Brown and Thomson 2016
knownGene.uc002ujj.2.1.inc,Brown and Thomson 2016
knownGene.uc002ujv.2.1.inc,Brown and Thomson 2016
knownGene.uc002und.2.1,Brown and Thomson 2016
knownGene.uc002upt.2.1,Brown and Thomson 2016
knownGene.uc002usv.2.1,Brown and Thomson 2016
knownGene.uc002uzu.2.1.inc,Brown and Thomson 2016
knownGene.uc002vdy.1.1.inc,Brown and Thomson 2016
knownGene.uc002vix.2.1.inc,Brown and Thomson 2016
knownGene.uc002vvm.3.1.inc,Brown and Thomson 2016
knownGene.uc002wbj.2.1.inc,Brown and Thomson 2016
knownGene.uc002wmm.2.1,Brown and Thomson 2016
knownGene.uc002wqx.2.1.inc,Brown and Thomson 2016
knownGene.uc002wsa.1.1.inc,Brown and Thomson 2016
knownGene.uc002xbe.2.1.inc,Brown and Thomson 2016
knownGene.uc002xjz.1.1,Brown and Thomson 2016
knownGene.uc002xwf.1.1,Brown and Thomson 2016
