"","x"
"629","0000185ti=352061cl=1db=184"
"630","0000185ti=92558cl=10db=184"
"631","0000186ti=34397cl=0db=184"
"632","0000186ti=569629cl=2db=184"
"633","0000187ti=28017cl=2db=184"
"634","0000187ti=50671cl=12db=184"
"635","0000187ti=8112cl=54db=184"
"636","0000187ti=82208cl=3db=184"
"637","0000188ti=12929cl=5db=184"
"638","0000188ti=91202cl=0db=184"
"639","0000189ti=121515cl=0db=184"
"640","0000189ti=169709cl=0db=184"
"641","0000189ti=7479cl=70db=184"
"642","0000191ti=28771cl=2db=184"
"643","0000191ti=337677cl=89db=184"
"644","0000191ti=4305cl=16db=184"
"645","0000192ti=233875cl=16db=184"
"646","0000193ti=27394cl=3db=184"
"647","0000193ti=7540cl=4db=184"
"648","0000194ti=216366cl=310db=184"
"649","0000194ti=38663cl=2db=184"
"650","0000194ti=42290cl=0db=184"
"651","0000194ti=50672cl=1db=184"
"652","0000194ti=50934cl=0db=184"
"653","0000194ti=6647cl=0db=184"
"654","0000194ti=70987cl=2db=184"
"655","0000194ti=7459cl=2db=184"
"656","0000194ti=83321cl=2db=184"
"657","0000194ti=85546cl=9db=184"
"658","0000195ti=7215cl=1db=184"
"659","0000196ti=216693cl=7db=184"
"660","0000196ti=232378cl=8db=184"
"661","0000196ti=36459cl=11db=184"
"662","0000196ti=3684cl=5db=184"
"663","0000196ti=4328cl=8db=184"
"664","0000196ti=49301cl=9db=184"
"665","0000196ti=92558cl=9db=184"
"666","0000197ti=16739cl=5db=184"
"667","0000197ti=218924cl=9db=184"
"668","0000197ti=30073cl=0db=184"
"669","0000197ti=41073cl=35db=184"
"670","0000197ti=41074cl=9db=184"
"671","0000197ti=535382cl=80db=184"
"672","0000197ti=60820cl=9db=184"
"673","0000197ti=71533cl=9db=184"
"674","0000197ti=9072cl=11db=184"
"675","0000198ti=6267cl=2db=184"
"676","0000198ti=6646cl=0db=184"
"677","0000198ti=8427cl=0db=184"
"678","0000200ti=147383cl=4db=184"
"679","0000200ti=216780cl=2db=184"
"680","0000200ti=3684cl=9db=184"
"681","0000200ti=3699cl=31db=184"
"682","0000200ti=6524cl=7db=184"
"683","0000201ti=36668cl=37db=184"
"684","0000201ti=64588cl=7db=184"
"685","0000202ti=218105cl=3db=184"
"686","0000202ti=388450cl=1db=184"
"687","0000203ti=70405cl=13db=184"
"688","0000204ti=189476cl=2db=184"
"689","0000204ti=319069cl=1db=184"
"690","0000204ti=33554cl=21db=184"
"691","0000204ti=4830cl=2db=184"
"692","0000205ti=32518cl=3db=184"
"693","0000205ti=8043cl=3db=184"
"694","0000206ti=186285cl=1db=184"
"695","0000206ti=216294cl=2db=184"
"696","0000206ti=27450cl=3db=184"
"697","0000206ti=34448cl=13db=184"
"698","0000206ti=43469cl=3db=184"
"699","0000206ti=43741cl=122db=184"
"700","0000206ti=43746cl=1db=184"
"701","0000206ti=46877cl=1db=184"
"702","0000206ti=46879cl=1db=184"
"703","0000206ti=7214cl=1db=184"
"704","0000207ti=43469cl=8db=184"
"705","0000207ti=9223cl=7db=184"
"706","0000207ti=9224cl=7db=184"
"707","0000208ti=32341cl=0db=184"
"708","0000208ti=33554cl=0db=184"
"709","0000208ti=50935cl=2db=184"
"710","0000208ti=64155cl=8db=184"
"711","0000208ti=64156cl=8db=184"
"712","0000209ti=27439cl=2db=184"
"713","0000209ti=639021cl=1db=184"
"714","0000210ti=160428cl=3db=184"
"715","0000210ti=40588cl=18db=184"
"716","0000210ti=62155cl=0db=184"
"717","0000210ti=65009cl=18db=184"
"718","0000211ti=137627cl=0db=184"
"719","0000211ti=29961cl=13db=184"
"720","0000211ti=37850cl=13db=184"
"721","0000211ti=45446cl=0db=184"
"722","0000211ti=5789cl=0db=184"
"723","0000213ti=235629cl=3db=184"
"724","0000214ti=4893cl=26db=184"
"725","0000214ti=64154cl=8db=184"
"726","0000214ti=9005cl=13db=184"
"727","0000215ti=400782cl=11db=184"
"728","0000215ti=58198cl=6db=184"
"729","0000215ti=7191cl=1db=184"
"730","0000216ti=3542cl=9db=184"
"731","0000216ti=6125cl=4db=184"
"732","0000217ti=183385cl=2db=184"
"733","0000217ti=33680cl=0db=184"
"734","0000218ti=586004cl=0db=184"
"735","0000218ti=7001cl=0db=184"
"736","0000218ti=85823cl=1db=184"
"737","0000219ti=179442cl=2db=184"
"738","0000219ti=218105cl=4db=184"
"739","0000219ti=265362cl=3db=184"
"740","0000219ti=39476cl=27db=184"
"741","0000219ti=50622cl=2db=184"
"742","0000220ti=34450cl=1db=184"
"743","0000220ti=42300cl=1db=184"
"744","0000220ti=58055cl=7db=184"
"745","0000221ti=274705cl=10db=184"
"746","0000222ti=157824cl=4db=184"
"747","0000222ti=60797cl=2db=184"
"748","0000222ti=69433cl=0db=184"
"749","0000223ti=3699cl=637db=184"
"750","0000223ti=399129cl=4db=184"
"751","0000223ti=41073cl=0db=184"
"752","0000224ti=4854cl=19db=184"
"753","0000224ti=5819cl=3db=184"
"754","0000224ti=6778cl=5db=184"
