"","x"
"236","0000121ti=92558cl=8db=184"
"237","0000123ti=122238cl=1db=184"
"238","0000123ti=32346cl=20db=184"
"239","0000123ti=65225cl=5db=184"
"240","0000124ti=184462cl=1db=184"
"241","0000124ti=44353cl=3db=184"
"242","0000125ti=37948cl=6db=184"
"243","0000126ti=81835cl=1db=184"
"244","0000127ti=50672cl=18db=184"
"245","0000128ti=7516cl=13db=184"
"246","0000129ti=75189cl=3db=184"
"247","0000131ti=274104cl=1db=184"
"248","0000132ti=107843cl=6db=184"
"249","0000133ti=3195cl=9db=184"
"250","0000133ti=65055cl=1db=184"
"251","0000134ti=36151cl=3db=184"
"252","0000134ti=7505cl=3db=184"
"253","0000135ti=40307cl=2db=184"
"254","0000136ti=166307cl=2db=184"
"255","0000136ti=5878cl=5db=184"
"256","0000136ti=93873cl=5db=184"
"257","0000138ti=102804cl=13db=184"
"258","0000138ti=166307cl=1db=184"
"259","0000138ti=400783cl=15db=184"
"260","0000139ti=30871cl=8db=184"
"261","0000140ti=33368cl=12db=184"
"262","0000141ti=33368cl=9db=184"
"263","0000141ti=360072cl=0db=184"
"264","0000142ti=137503cl=6db=184"
"265","0000142ti=318546cl=49db=184"
"266","0000142ti=319095cl=49db=184"
"267","0000142ti=33361cl=3db=184"
"268","0000143ti=85817cl=12db=184"
"269","0000144ti=29146cl=1db=184"
"270","0000144ti=422676cl=11db=184"
"271","0000144ti=5819cl=11db=184"
"272","0000144ti=703251cl=1db=184"
"273","0000145ti=30190cl=7db=184"
"274","0000146ti=216810cl=5db=184"
"275","0000147ti=166306cl=2db=184"
"276","0000147ti=3071cl=1db=184"
"277","0000147ti=7215cl=5db=184"
"278","0000148ti=63711cl=43db=184"
"279","0000150ti=37266cl=2db=184"
"280","0000150ti=56096cl=0db=184"
"281","0000153ti=6514cl=2db=184"
"282","0000154ti=319095cl=63db=184"
"283","0000155ti=43755cl=79db=184"
"284","0000155ti=5637cl=0db=184"
"285","0000156ti=167488cl=3db=184"
"286","0000158ti=137437cl=5db=184"
"287","0000158ti=33630cl=1db=184"
"288","0000158ti=337687cl=3db=184"
"289","0000159ti=130551cl=3db=184"
"290","0000160ti=169697cl=6db=184"
"291","0000160ti=2864cl=81db=184"
"292","0000160ti=424573cl=1db=184"
"293","0000162ti=71526cl=1db=184"
"294","0000164ti=33362cl=3db=184"
"295","0000165ti=7214cl=5db=184"
"296","0000165ti=7505cl=2db=184"
"297","0000166ti=43746cl=5db=184"
"298","0000166ti=51799cl=0db=184"
"299","0000167ti=39550cl=1db=184"
"300","0000167ti=6962cl=1db=184"
"301","0000168ti=43742cl=95db=184"
"302","0000169ti=10205cl=3db=184"
"303","0000171ti=192733cl=1db=184"
"304","0000172ti=388282cl=1db=184"
"305","0000174ti=243881cl=2db=184"
"306","0000175ti=192733cl=0db=184"
"307","0000175ti=314293cl=69db=184"
"308","0000175ti=33349cl=4db=184"
"309","0000175ti=376913cl=68db=184"
"310","0000176ti=14101cl=8db=184"
"311","0000176ti=50622cl=3db=184"
"312","0000176ti=75981cl=4db=184"
"313","0000177ti=43174cl=12db=184"
"314","0000178ti=162484cl=1db=184"
